User,Team #,Rookie Year,Likes Recieved,Likes Given,Topics,Replies,Viewed,Read,Visits,Elo
Anupam_Goli,1746,2009,68,14,0,8,509,6572,322,1605
KCruz,1160,2013,0,503,0,0,1760,36203,322,1543
Log,3674,2018,23,112,2,29,1896,32620,322,1762
Leviosa,5677,2015,5,1001,0,1,1435,32361,322,
SPang,None,None,278,203,0,138,2113,42454,322,
Ethann,3847,2018,0,9,0,1,1458,19494,322,1726
juju_beans,3647,2016,332,409,2,151,2302,35121,322,1719
JKBear331,2619,2008,636,2388,4,1334,1845,47827,322,1628
Jaci,4788,2015,196,1,1,7,349,4017,322,
Daltz3,66,2015,144,4,1,78,1136,10156,321,1623
pryland,4336,,34,33,2,19,1548,22014,321,1601
MrBasse,3572,2010,223,50,2,111,2796,44244,321,1724
thereidfleish,2638,2018,436,833,12,392,1058,13341,321,1649
Pascal36,7891,2019,0,1,0,0,1253,21824,321,1465
plnyyanks,0,2010,107,115,0,17,512,14660,321,
rah1236,5417,2018,43,120,1,12,2697,44334,320,1519
Dan_Katzuv,5987,2017,221,1167,12,255,2668,26618,320,1507
LordPeaches,612,2017,271,787,3,93,1400,21410,320,1605
Trevor,,2014,74,15,4,8,1552,19438,320,
scottandme,5895,2009,248,46,0,24,666,10299,320,1672
Underdog_19,4909,2014,10,0,2,7,898,9349,319,1659
JonathanBurton,341,2019,89,140,0,57,1777,37027,319,1598
sseshan,8027,2020,12,19,1,14,1702,25210,319,
wesbass23,1732,2011,65,11,1,19,1158,19212,319,1729
cobaltrisen,6502,2017,82,18,2,16,1265,10832,319,1608
jhajel,5507,2014,45,108,7,48,1786,32012,319,1667
Carlos1425,1425,2018,73,191,2,20,1716,33982,318,1640
mrnoble,1339,2004,3266,1682,36,651,1897,38133,318,1551
ferrari77,1640,,543,50,4,235,2503,44874,318,1672
jtrv,,2012,2090,1838,4,659,2656,51969,317,
Ankith,503,2011,14,151,0,4,2509,42726,317,1598
MichaelBick,1836,2011,105,249,0,76,1522,32100,317,1705
ryandalex1,2502,None,1,18,1,1,1540,18969,317,1616
RyanShoff,4143,2012,48,0,2,18,1531,29473,317,1685
Boomie-7492,7492,2019,29,3,0,13,1295,8050,317,1560
