team,lat,lng
3197,43.303,-88.003
3200,39.626,-104.787
3201,39.436,-84.618
3202,44.968,-93.049
3204,40.712,-73.794
3205,42.457,-71.375
3206,44.92,-92.944
3211,30.988,34.932
3212,44.809,-95.552
3215,36.106,-79.817
3216,46.856,-114.025
3218,47.143,-122.164
3219,47.305,-122.207
3220,47.434,-117.383
3223,47.662,-122.698
3225,40.692,-112.001
3229,35.626,-78.846
3230,40.756,-111.897
3234,42.955,-85.365
3236,42.093,-71.406
3237,47.073,-122.394
3238,48.5,-122.631
3239,41.088,-111.97
3240,29.403,-98.643
3242,29.106,-82.098
3243,40.623,-111.778
3244,45.571,-94.204
3245,40.593,-111.831
3247,35.296,-96.96
3250,38.496,-121.53
3255,33.11,-117.07
3256,37.283,-121.826
3257,38.894,-121.291
3258,36.687,-79.869
3260,40.441,-79.996
