Team #,Region,Age
3984,Tennessee,7
3985,Canada,7
3986,Canada,7
3988,Canada,7
3990,Canada,7
3991,Louisiana,7
3993,California,7
3996,Canada,7
3997,Texas,7
3998,PCH,7
3999,Texas,7
4001,ONT,7
4003,FIM,7
4004,FIM,7
4005,Oklahoma,7
4006,New York,7
4008,IN,7
4009,Minnesota,7
4010,Mexico,7
4011,Wisconsin,7
4012,New York,7
4013,Florida,7
4014,California,7
4015,ONT,7
4019,California,7
4020,Tennessee,7
4021,Wisconsin,7
4023,New York,7
4024,Florida,7
4026,PCH,7
4027,Pennsylvania,7
4028,Ohio,7
4034,NE,7
4035,MAR,7
4039,ONT,7
4041,NE,7
4042,NE,7
4043,PNW,7
4048,NE,7
4049,Pennsylvania,7
4050,Pennsylvania,7
4051,PNW,7
4053,Louisiana,7
